id,X,Y,Z,rc,assigned,tracker_idx,row_side,Tracker_ID,NCU,GW,TCU,PS,NCU_ACCIONA,GRUPO,Tracker_Xref,Tracker_Yref,dx_ref,dy_ref,mesa,m_side,corner
97,200912.565,8162290.89,1568.568,1069.0,True,534.0,W,TR-04_1-053,5.0,1.0,53.0,04_1,MU-04_1-17,4.0,200918.6955,8162328.032,-6.13,-37.142,2,S,SW
98,200906.36,8162290.781,1568.598,1066.0,True,533.0,E,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,0.06,-37.251,2,S,SE
99,200900.069,8162290.926,1567.694,1067.0,True,533.0,W,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,-6.231,-37.106,2,S,SW
100,200900.222,8162328.684,1567.122,1067.0,True,533.0,W,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,-6.077,0.652,1,S,SW
101,200900.24,8162327.778,1567.082,1067.0,True,533.0,W,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,-6.06,-0.254,2,N,NW
102,200906.35,8162327.477,1566.975,1066.0,True,533.0,E,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,0.051,-0.555,2,N,NE
103,200906.288,8162328.238,1566.981,1066.0,True,533.0,E,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,-0.011,0.206,1,S,SE
104,200900.12,8162365.443,1567.1,1067.0,True,533.0,W,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,-6.179,37.411,1,N,NW
105,200900.158,8162365.969,1567.42,1035.0,True,517.0,W,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,-6.141,-37.169,2,S,SW
106,200906.346,8162365.194,1567.484,1066.0,True,533.0,E,TR-04_1-052,5.0,1.0,52.0,04_1,MU-04_1-17,4.0,200906.2995,8162328.032,0.046,37.162,1,N,NE
107,200906.345,8162365.914,1567.705,1034.0,True,517.0,E,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,0.046,-37.224,2,S,SE
108,200906.372,8162402.617,1567.761,1034.0,True,517.0,E,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,0.073,-0.521,2,N,NE
109,200906.379,8162403.443,1567.742,1034.0,True,517.0,E,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,0.079,0.305,1,S,SE
110,200900.183,8162402.721,1567.578,1035.0,True,517.0,W,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,-6.117,-0.417,2,N,NW
111,200900.187,8162403.724,1567.555,1035.0,True,517.0,W,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,-6.112,0.586,1,S,SW
112,200900.136,8162440.448,1566.5,1035.0,True,517.0,W,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,-6.163,37.31,1,N,NW
113,200900.173,8162441.047,1566.768,1005.0,True,502.0,W,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,-6.126,-37.197,2,S,SW
114,200906.359,8162441.038,1566.934,1004.0,True,502.0,E,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,0.06,-37.206,2,S,SE
115,200906.414,8162440.373,1566.734,1034.0,True,517.0,E,TR-04_1-036,5.0,1.0,36.0,04_1,MU-04_1-17,4.0,200906.2995,8162403.138,0.114,37.235,1,N,NE
116,200906.286,8162477.735,1567.5,1004.0,True,502.0,E,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,-0.014,-0.509,2,N,NE
117,200906.294,8162478.585,1567.504,1004.0,True,502.0,E,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,-0.005,0.341,1,S,SE
118,200900.125,8162478.806,1567.507,1005.0,True,502.0,W,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,-6.174,0.562,1,S,SW
119,200900.093,8162477.792,1567.483,1005.0,True,502.0,W,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,-6.207,-0.452,2,N,NW
